,id,Name,price,Calories,Total Fat,Saturated Fat,Trans Fat,Polyunsaturated Fat,Monounsaturated Fat,Cholesterol,Sodium,Potassium,Total Carbohydrate,Dietary Fiber,Total Sugars,Added Sugars,Protein,Calcium,Iron
76,970104800,Sola Bagels Plain - 12 OZ,6.99,220,14,2,0,25,9,0,520,110,26,18,1,0,18,90,15
77,960163906,St Pierre Brioche French Vanilla Flavored - 14.1 Oz,6.99,140,4,2,0,,,15,160,70,22,1,9,5,3,40,0
78,960310400,Semifreddis Kalamata Croutons - 5 Oz,2.69,35,15,0,0,,,0,60,10,5,0,0,,1,0,0
80,970093694,Alfaro's Artesano Honey Hawaiian Dinner Rolls - 12 Count,5.49,120,15,0,0,,0,0,200,40,23,1,3,3,4,10,12
81,970309684,Signature Select Hoagie Rolls Brown Old Fashioned - 16.5 OZ,3.49,190,25,0,0,,,0,370,105,35,2,7,7,7,60,2
82,970110437,Signature SELECT Brioche Slider Rolls 11.28 Oz - 8 Count,6.29,120,25,1,0,,,5,170,50,21,1,5,4,4,15,1
83,960163904,St. Pierre Brioche Rolls 8 Count - Each,6.49,120,3,1,0,,,10,170,60,20,1,5,5,3,20,03
85,960061134,Signature SELECT Rolls Dinner... riched Flour - 12 Oz,3.49,70,1,0,0,,,0,115,20,13,0,1,,2,34,1
88,960163902,St. Pierre Brioche Swirls Vanilla 8 Count - Each,6.49,150,45,15,0,,,10,150,50,22,1,8,7,4,40,03
90,196050883,Oroweat Whole Grains 100% Whole Wheat Bread - 24 Oz,5.99,110,2,0,0,1,0,0,180,100,21,3,3,3,4,45,09
91,960038380,Daves Killer Bread 21 Whole Gr... rganic Bread - 27 Oz,7.99,120,2,0,0,0,0,0,180,115,22,5,5,0,5,0,0
92,960002359,Natures Own Honey Wheat Honey Wheat Sandwich Bread - 20 Oz,4.99,70,05,0,0,0,0,0,110,0,13,1,2,,3,50,1
93,960094483,Wonder Bread Classic White San... e Bread Loaf - 20 Oz,4.49,140,15,0,0,1,0,0,180,70,29,3,5,5,5,480,19
94,960002360,Natures Own 100% Whole Wheat Bread - 20 Oz,4.99,60,05,0,0,0,0,0,110,0,11,2,1,1,4,50,08
95,960138380,Daves Killer Bread Organic White Bread Done Right - 24 Oz,7.99,110,2,0,0,0,0,0,190,40,21,2,2,0,3,0,0
96,196050896,Oroweat Whole Grains Oatnut Bread - 24 Oz,5.99,120,25,0,0,1,1,0,170,80,21,2,3,3,4,45,11
97,196050889,Oroweat Country Potato Bread - 24 Oz,5.99,120,15,0,0,1,0,0,150,45,22,1,2,2,3,45,12
98,196052628,Oroweat Whole Grains Healthy Multi Grain Bread - 24 Oz,4.99,110,25,0,0,15,0,0,180,100,20,3,4,3,5,40,11
99,960012842,Natures Own Butterbread Sliced White Bread - 20 Oz,4.99,60,1,0,0,0,0,0,90,0,12,0,2,2,2,50,08
100,296051128,Signature SELECT Bread White Buttermilk - 24 Oz,4.49,100,15,0,0,,,0,170,30,18,1,1,1,3,80,1
101,196011495,San Luis Sourdough Bread - 24 Oz,6.99,150,05,0,0,0,0,0,260,0,29,1,3,0,6,0,0
102,960050655,Daves Killer Bread 21 Whole Gr... anic Bread - 20.5 Oz,6.99,60,1,0,0,0,0,0,100,65,12,3,3,0,3,0,0
103,960287585,Daves Killer Bread White Done Right Thin - 20.5 Oz,6.99,70,15,0,0,0,05,0,125,0,14,1,2,2,2,0,04
104,196050879,Oroweat Whole Grains 12 Grain Bread - 24 Oz,4.99,110,3,0,0,15,05,0,200,100,19,3,2,2,5,40,09
105,960455364,The Rustik Oven Sourdough Bread - 16 Oz,4.99,150,15,0,0,0,0,0,370,40,29,1,0,0,5,50,18
106,296051132,Signature SELECT Bread 100% Whole Wheat - 24 Oz,4.49,110,15,0,0,,,0,150,90,21,2,4,4,5,40,09
107,196100818,Thomas' Plain Bagels - 20 Oz,4.99,270,15,05,0,,,0,450,80,53,2,6,5,9,10,29
108,960036893,Signature SELECT Bread 100% Whole Wheat - 16 Oz,1.79,120,15,0,0,,,0,230,110,21,3,4,3,7,60,12
109,960108331,Signature SELECT Bread Country White - 24 Oz,4.49,110,15,0,0,,,0,210,30,21,1,1,1,3,40,12
110,196052875,Signature SELECT Bread Nut & Grain - 24 Oz,4.49,120,4,05,0,,,0,180,70,17,1,1,1,4,40,1
111,196050921,Oroweat Country White Bread - 24 Oz,5.99,120,2,05,0,05,0,5,240,70,22,1,4,3,3,60,11
112,960011199,Signature SELECT Bread 100% Whole Wheat - 22 Oz,2.99,130,15,0,0,,,0,260,129,25,4,1,,6,135,1
113,960455365,The Rustik Oven Artisan Pane Italiano Bread - 16 Oz,4.99,170,15,0,0,0,05,0,360,60,33,1,0,0,6,50,19
114,196050798,Oroweat Jewish Rye Bread - 16 Oz,6.49,90,15,0,0,05,0,0,190,40,17,1,1,1,3,35,08
115,296050875,Signature SELECT Bread Sourdough - 24 Oz,4.49,100,15,0,0,,,0,170,30,18,1,0,0,3,40,11
116,970065669,King's Hawaiian Original Hawai... iced Bread - 13.5 Oz,4.99,100,25,15,0,,,15,95,51,16,1,6,5,3,14,1
117,196100819,Thomas' Cinnamon Raisin Bagels - 20 Oz,4.99,280,15,05,0,05,0,0,390,130,55,2,10,6,9,25,3
118,196100353,Thomas' Plain Mini Bagels - 15 Oz,4.99,120,05,0,0,0,0,0,220,,24,1,3,,4,0,0
119,960331740,Natures Own Perfectly Crafted... ndwich Bread - 22 Oz,4.0,110,2,0,0,1,0,0,220,0,21,1,3,3,4,50,1
120,196100829,Thomas' Everything Bagels - 20 Oz,4.99,290,36,05,0,15,1,0,410,110,53,2,6,5,9,20,31
121,960455366,The Rustik Oven Hearty Grains & Seeds Artisan Bread - 16 Oz,4.99,180,35,0,0,2,1,0,290,120,31,3,1,0,7,50,21
122,960050654,Daves Killer Bread Good Seed T... anic Bread - 20.5 Oz,6.99,70,2,0,0,0,0,0,115,75,13,3,2,0,3,0,0
123,960038378,Daves Killer Bread Good Seed W... rganic Bread - 27 Oz,7.99,140,3,0,0,0,0,0,170,115,25,4,5,0,5,0,0
124,960051613,Signature SELECT Bread 15 Grain - 24 Oz,4.49,110,2,0,0,,,0,190,60,20,1,1,1,4,40,1
125,960546814,Daves Killer Bread Burger Buns... urger Buns - 8 Count,7.99,70,1,0,0,0,0,0,85,0,14,2,1,0,3,0,0
126,196010359,Francisco International Extra Sourdough Sliced Bread - 24 Oz,5.99,130,15,0,0,05,0,0,190,35,24,1,0,0,4,40,14
127,960094481,Home Pride White Bread - 20 Oz,5.29,70,1,0,0,,0,0,130,0,14,0,2,2,2,0,07
128,960461163,Oroweat Premium Italian Bread - 20 Oz,5.99,100,1,0,0,05,0,0,300,30,19,1,1,1,4,40,11
129,970065562,King's Hawaiian Honey Wheat Hawaiian Sliced Bread - 13.5 Oz,4.99,100,2,15,0,,,15,70,46,16,1,6,5,3,16,1
130,960331739,Natures Own Perfectly Crafted... ndwich Bread - 22 Oz,4.0,110,15,0,0,1,0,0,230,0,22,1,2,2,4,60,12
131,960484524,Natures Own Perfectly Crafted... rioche Bread - 22 Oz,4.0,110,15,05,0,0,0,5,170,30,21,1,4,4,4,40,11
132,960276900,Daves Killer Bread Sprouted Wh... c Bread 20.5 Oz Loaf,6.99,70,1,0,0,0,0,0,115,70,15,2,3,3,3,10,06
133,960052018,Signature SELECT Bread Enriched Oat & Nuts - 24 Oz,4.49,110,2,0,0,,,0,170,60,19,1,2,2,4,120,12
134,960052444,Signature SELECT Bread Long Sl... le Sourdough - 24 Oz,3.99,60,0,0,0,,,0,150,18,13,0,0,,3,30,1
136,960519615,Signature Select Bread Butter Top White - 22 Oz,2.49,140,15,0,0,,,0,240,50,27,1,2,,4,140,2
137,960146865,Daves Killer Bread Organic Thin Sliced Powerseed - 20.5 Oz,6.99,60,15,0,0,1,0,0,90,0,12,3,2,2,3,0,08
138,960094480,Home Pride Wheat Bread - 20 Oz,5.29,70,1,0,0,0,0,0,140,0,13,1,2,2,2,40,11
139,196100473,Thomas' Cinnamon Raisin Swirl Bread - 16 Oz,4.99,90,15,0,0,05,0,0,140,70,18,1,6,2,2,30,08
140,960017182,New York Bakery Texas Toast Real Garlic 8 Count - 11.25 Oz,3.99,160,9,25,0,,,0,270,0,16,1,1,,3,0,1
141,960269649,Signature SELECT Bread Artisan Style - 20 Oz,4.79,100,15,0,0,,,0,170,27,19,1,1,,3,46,11
142,960327322,Oroweat Organic Thin Sliced 22... Seeds Bread - 20 Oz,5.49,80,15,0,0,1,0,0,125,70,13,2,2,2,4,25,07
143,960150300,Wonder Bread Italian Bread Ita... Bread  Loaf - 20 Oz,4.49,80,1,0,0,05,0,0,230,30,16,1,1,1,3,40,1
144,960332261,Canyon Bakehouse Ancient Grain... Bread Fresh - 15 Oz,8.49,70,15,0,0,05,1,5,95,50,13,1,2,2,1,10,04
145,960276899,Dave's Killer Bread Organic Ci... he Roof Bread- 18 Oz,5.99,80,1,0,0,0,0,0,90,78,16,0,5,0,4,10,1
146,196052925,Food For Life Ezekiel 4:9 Orga... Whole Grain - 24 Oz,7.79,80,05,0,0,0,0,0,75,81,15,3,0,0,5,9,1
